date,open,high,low,close,volume,value
2018-05-10,200.0,269.0,184.0,191.0,863788779.9843742,179676844747.79587
2018-05-11,191.0,194.0,137.0,170.0,443958713.61569357,73572992420.1702
2018-05-12,169.0,187.0,150.0,175.0,203729798.83578506,34373279653.25726
2018-05-13,176.0,184.0,170.0,181.0,120938501.3671175,21444107377.989502
2018-05-14,181.0,181.0,166.0,173.0,93542437.2250705,16100802433.10612
2018-05-15,172.0,173.0,157.0,161.0,45532150.87233679,7575736399.619799
2018-05-16,160.0,161.0,144.0,150.0,59555703.69405672,8860598863.266064
2018-05-17,150.0,165.0,147.0,153.0,102790079.54041392,15992193508.121925
2018-05-18,153.0,155.0,144.0,153.0,35547172.01971865,5291117205.762461
2018-05-19,153.0,164.0,147.0,159.0,30466950.9009148,4735420248.888457
2018-05-20,159.0,168.0,157.0,164.0,49759950.66883615,8140990235.662019
2018-05-21,164.0,166.0,157.0,159.0,42169798.48031294,6820726649.944648
2018-05-22,159.0,164.0,149.0,150.0,47109029.83799767,7442827120.324797
2018-05-23,150.0,153.0,131.0,133.0,81350439.62004255,11650670786.653109
2018-05-24,133.0,145.0,127.0,138.0,85462873.6578,11619170020.75445
2018-05-25,139.0,139.0,131.0,135.0,28830925.95258781,3887355587.1267695
2018-05-26,135.0,137.0,131.0,132.0,18907386.2113282,2536118284.129296
2018-05-27,133.0,133.0,128.0,128.0,14590410.67809156,1899300263.4652765
2018-05-28,128.0,131.0,111.0,112.0,45930502.21752668,5543184397.299762
2018-05-29,112.0,127.0,108.0,125.0,80958955.58496834,9493757150.81149
2018-05-30,125.0,132.0,117.0,122.0,52687140.50379012,6571034361.763972
2018-05-31,122.0,127.0,119.0,124.0,31010789.90915091,3824339909.082075
2018-06-01,124.0,126.0,120.0,122.0,14712695.14320036,1805056090.2352324
2018-06-02,122.0,130.0,121.0,130.0,26022589.54115331,3274818797.279963
2018-06-03,130.0,148.0,129.0,140.0,108529014.37236501,15174363336.251747
2018-06-04,140.0,141.0,129.0,134.0,62764662.68976432,8386569947.17034
2018-06-05,133.0,142.0,127.0,138.0,55163074.14390553,7378366236.020389
2018-06-06,139.0,145.0,134.0,143.0,53560813.97768644,7484076809.85683
2018-06-07,143.0,151.0,140.0,143.0,67383408.90653104,9847765363.66526
2018-06-08,143.0,144.0,136.0,139.0,39432376.50017252,5474786824.050171
2018-06-09,139.0,141.0,132.0,133.0,33481617.49155078,4580607079.031759
2018-06-10,133.0,133.0,106.0,114.0,91125608.3132968,11044801788.50943
2018-06-11,113.0,117.0,104.0,115.0,107100062.27724679,11869601572.16697
2018-06-12,116.0,118.0,99.6,103.0,93891579.72217248,10120488790.75846
2018-06-13,102.0,103.0,89.2,93.9,128332229.63060951,12257950456.272713
2018-06-14,93.9,105.0,91.5,104.0,156657236.3627852,15320277918.405691
2018-06-15,104.0,104.0,96.2,96.5,72084453.80495556,7173982125.902154
2018-06-16,96.3,97.4,93.8,95.2,51837224.5622762,4969160599.47084
2018-06-17,95.2,96.9,94.2,94.8,25296248.17281314,2418740471.9545803
2018-06-18,94.7,98.8,91.6,96.7,34719060.09633124,3282496681.590629
