date,open,high,low,close,volume
2018-10-26,500.0,607.0,500.0,526.0,29797975.19284264
2018-10-27,526.0,563.0,515.0,519.0,11107374.10424002
2018-10-28,519.0,525.0,508.0,512.0,2266223.44434893
2018-10-29,512.0,516.0,469.0,473.0,39162813.23935587
2018-10-30,471.0,486.0,468.0,483.0,42748826.7181113
2018-10-31,484.0,494.0,468.0,486.0,37576169.71970523
2018-11-01,486.0,493.0,482.0,490.0,32775041.96461272
2018-11-02,490.0,490.0,478.0,483.0,926024.47332372
2018-11-03,483.0,484.0,465.0,470.0,486262.68437311
2018-11-04,470.0,470.0,456.0,460.0,605326.53827689
2018-11-05,460.0,464.0,435.0,438.0,613052.63763802
2018-11-06,438.0,454.0,430.0,453.0,726094.83528438
2018-11-07,453.0,462.0,442.0,458.0,525071.03098905
2018-11-08,461.0,462.0,445.0,456.0,292975.17848531
2018-11-09,455.0,455.0,440.0,442.0,481172.30356882
2018-11-10,444.0,447.0,439.0,443.0,231317.84361362
2018-11-11,446.0,447.0,429.0,433.0,148108.89571503
2018-11-12,434.0,439.0,421.0,427.0,210495.81244388
2018-11-13,427.0,429.0,404.0,406.0,299803.86095851
2018-11-14,407.0,416.0,341.0,358.0,484839.09792327
2018-11-15,358.0,362.0,297.0,334.0,320755.07214867
2018-11-16,334.0,343.0,309.0,322.0,91265.785829
2018-11-17,322.0,326.0,300.0,309.0,179360.75903987
2018-11-18,310.0,320.0,302.0,310.0,85721.49002262
2018-11-19,310.0,322.0,242.0,250.0,286511.98769986
2018-11-20,266.0,266.0,185.0,209.0,364002.91296442
2018-11-21,219.0,237.0,207.0,221.0,126436.41460994
2018-11-22,229.0,238.0,220.0,220.0,34583.96038558
2018-11-23,223.0,243.0,200.0,220.0,394585.06443012
2018-11-24,220.0,226.0,190.0,196.0,130088.07150706
2018-11-25,195.0,195.0,166.0,186.0,154985.02763345
2018-11-26,186.0,200.0,175.0,179.0,390287.40711744
2018-11-27,179.0,194.0,174.0,183.0,245483.83557017
2018-11-28,183.0,218.0,183.0,213.0,891799.738407
2018-11-29,213.0,280.0,202.0,217.0,2332812.13306754
2018-11-30,220.0,228.0,187.0,201.0,818141.71170555
2018-12-01,201.0,291.0,199.0,232.0,11379936.92868947
2018-12-02,232.0,232.0,218.0,223.0,1456500.98969952
2018-12-03,223.0,225.0,189.0,202.0,1131784.62885782
2018-12-04,199.0,213.0,190.0,204.0,720690.61365983
2018-12-05,204.0,204.0,184.0,185.0,536850.30803438
2018-12-06,187.0,188.0,155.0,155.0,1194934.47280088
2018-12-07,155.0,155.0,135.0,149.0,645045.43275367
2018-12-08,148.0,162.0,142.0,150.0,269530.13483132
2018-12-09,149.0,161.0,145.0,155.0,210232.06685014
2018-12-10,155.0,162.0,146.0,150.0,91000.73765901
2018-12-11,150.0,153.0,141.0,149.0,301590.67978063
2018-12-12,148.0,150.0,144.0,147.0,713682.22727891
2018-12-13,147.0,148.0,137.0,137.0,989946.41639092
2018-12-14,137.0,142.0,126.0,130.0,1000376.90884414
2018-12-15,132.0,143.0,128.0,139.0,271580.18392034
2018-12-16,139.0,144.0,135.0,136.0,297098.992379
2018-12-17,137.0,151.0,135.0,143.0,437661.65686437
2018-12-18,146.0,161.0,141.0,152.0,277202.19674647
2018-12-19,152.0,174.0,151.0,160.0,727427.99462143
2018-12-20,159.0,212.0,156.0,202.0,2169638.16594091
2018-12-21,203.0,203.0,173.0,174.0,843240.7670249
2018-12-22,176.0,204.0,171.0,180.0,499648.54403484
2018-12-23,184.0,197.0,178.0,185.0,385705.53191724
2018-12-24,187.0,203.0,185.0,191.0,489227.46458159
2018-12-25,191.0,191.0,163.0,170.0,288471.53847609
2018-12-26,170.0,190.0,168.0,181.0,304770.26890782
2018-12-27,180.0,185.0,161.0,161.0,124845.48353153
2018-12-28,162.0,185.0,158.0,179.0,492366.96841917
2018-12-29,179.0,183.0,172.0,183.0,104644.942832
2018-12-30,174.0,183.0,172.0,180.0,250992.3288849
2018-12-31,179.0,206.0,160.0,172.0,190339.57301353
2019-01-01,173.0,179.0,171.0,177.0,152656.04378389
2019-01-02,177.0,187.0,176.0,185.0,150169.7861969
2019-01-03,186.0,187.0,173.0,176.0,176454.68732033
2019-01-04,176.0,180.0,173.0,176.0,209526.85046247
2019-01-05,177.0,180.0,174.0,177.0,99834.57165881
2019-01-06,177.0,200.0,177.0,190.0,714852.56650904
2019-01-07,193.0,202.0,181.0,181.0,630268.42152233
2019-01-08,186.0,187.0,176.0,182.0,256608.75156685
2019-01-09,182.0,185.0,180.0,182.0,235471.89966519
2019-01-10,182.0,184.0,155.0,155.0,501820.52824697
2019-01-11,157.0,169.0,156.0,159.0,120742.6971633
