date,open,high,low,close,volume
2019-02-21,178.0,190.0,42.3,115.0,360543524.1970736
2019-02-22,116.0,119.0,100.0,106.0,204157263.6591962
2019-02-23,106.0,132.0,100.0,120.0,359159255.6613882
2019-02-24,121.0,135.0,101.0,107.0,423864254.88145256
2019-02-25,106.0,111.0,103.0,108.0,350948996.1901968
2019-02-26,108.0,108.0,97.1,102.0,1326248658.3104029
2019-02-27,102.0,104.0,88.2,95.6,2680897528.8939657
2019-02-28,95.6,99.9,87.2,88.7,42390509.50130311
2019-03-01,88.7,91.6,81.0,83.0,30539825.15056328
2019-03-02,83.0,83.0,76.0,78.2,28698614.18502228
2019-03-03,78.4,83.0,76.5,78.7,28145444.76656309
2019-03-04,78.7,79.0,67.6,71.0,46248747.11093631
2019-03-05,71.0,71.4,67.7,70.9,24421793.61631109
2019-03-06,70.9,70.9,68.5,69.8,13952655.83381883
2019-03-07,69.8,69.9,66.4,68.1,32538003.74616443
2019-03-08,68.1,76.1,67.0,69.3,75921473.69220397
2019-03-09,69.2,73.0,67.4,71.6,40701765.51270363
2019-03-10,71.6,72.3,67.0,69.4,37783595.86694237
2019-03-11,69.4,69.4,66.5,68.1,31416193.95732669
2019-03-12,68.0,72.8,67.0,70.3,60444906.19712326
2019-03-13,70.3,71.1,67.6,70.4,21759094.52228772
2019-03-14,70.4,71.4,67.7,69.6,17452715.75488728
2019-03-15,69.8,71.7,69.2,71.1,19591783.91712706
2019-03-16,71.0,78.2,70.8,76.9,89237090.02559564
2019-03-17,76.8,77.0,72.1,75.4,19397968.27073389
2019-03-18,75.8,75.8,71.0,73.5,33074713.06887421
2019-03-19,73.4,104.0,72.1,83.1,559985746.471076
2019-03-20,83.1,83.4,76.7,77.9,56192157.02594366
2019-03-21,77.9,87.3,75.6,81.0,124634467.37599394
2019-03-22,81.0,81.8,76.8,80.9,26719230.5698598
2019-03-23,81.0,81.6,78.3,80.1,10921602.68132909
2019-03-24,80.1,85.4,80.0,81.9,43367401.83046295
2019-03-25,81.8,85.4,65.3,73.9,41639298.65393489
2019-03-26,73.6,74.2,69.6,72.8,15111116.70918616
2019-03-27,73.3,76.7,72.9,74.5,10465380.35736408
2019-03-28,74.5,74.7,71.5,72.9,10694167.0435398
2019-03-29,72.9,73.2,71.2,72.5,7510196.60676504
2019-03-30,72.4,72.9,69.0,69.8,9150539.83111134
2019-03-31,70.0,72.2,69.5,70.7,10089265.69731993
2019-04-01,70.8,73.5,69.5,70.3,10266666.11057694
2019-04-02,70.2,72.0,68.1,71.2,20802952.01745323
2019-04-03,71.3,71.4,68.9,69.4,17518124.61746633
2019-04-04,69.7,73.0,69.4,72.2,17245777.15531755
2019-04-05,71.9,73.6,70.0,72.5,12871572.06808518
2019-04-06,72.7,73.3,69.9,70.6,8189917.13837511
