date,open,high,low,close,volume
2018-06-12,235.0,389.0,235.0,254.0,217915243.88459554
2018-06-13,253.0,253.0,202.0,212.0,19619591.84292771
2018-06-14,212.0,234.0,202.0,234.0,9465722.90918179
2018-06-15,235.0,237.0,218.0,223.0,2763171.33659301
2018-06-16,222.0,224.0,213.0,220.0,1160538.89308373
2018-06-17,221.0,225.0,212.0,215.0,963435.8099083
2018-06-18,215.0,232.0,210.0,227.0,5080683.54577604
2018-06-19,228.0,228.0,216.0,222.0,4701185.83941615
2018-06-20,222.0,222.0,197.0,209.0,4753039.05246099
2018-06-21,209.0,210.0,197.0,200.0,1674189.65995863
2018-06-22,199.0,199.0,170.0,171.0,3220722.98147706
2018-06-23,170.0,177.0,156.0,162.0,1121859.18416446
2018-06-24,162.0,208.0,141.0,166.0,8636657.02830617
2018-06-25,167.0,200.0,165.0,176.0,11588893.70990467
2018-06-26,176.0,178.0,155.0,156.0,2697195.45046844
2018-06-27,157.0,178.0,157.0,163.0,2512767.54774927
2018-06-28,165.0,167.0,153.0,154.0,840557.01149006
2018-06-29,155.0,176.0,153.0,175.0,1646517.59655312
2018-06-30,174.0,198.0,173.0,193.0,1465515.14503091
2018-07-01,192.0,198.0,180.0,192.0,751732.11386034
2018-07-02,192.0,228.0,188.0,222.0,3010955.6852475
2018-07-03,223.0,278.0,220.0,220.0,12128998.27670849
2018-07-04,225.0,243.0,209.0,233.0,6752655.89238151
2018-07-05,234.0,240.0,217.0,222.0,4105201.85142701
2018-07-06,221.0,480.0,200.0,316.0,148521329.75425434
2018-07-07,316.0,316.0,257.0,281.0,92805416.28371029
2018-07-08,281.0,281.0,251.0,261.0,31835897.18338966
2018-07-09,261.0,261.0,240.0,242.0,20819749.5280708
2018-07-10,242.0,246.0,215.0,217.0,20543848.89566497
2018-07-11,216.0,234.0,202.0,224.0,36285242.0393937
2018-07-12,224.0,224.0,202.0,208.0,9622565.9761499
2018-07-13,208.0,216.0,205.0,209.0,8284751.56146359
2018-07-14,209.0,222.0,207.0,217.0,6800183.10789252
2018-07-15,217.0,223.0,213.0,219.0,7145951.09702689
2018-07-16,218.0,250.0,215.0,245.0,19160496.79355685
2018-07-17,245.0,311.0,243.0,288.0,69080807.53095597
2018-07-18,288.0,310.0,258.0,278.0,58748382.41605334
2018-07-19,278.0,278.0,250.0,261.0,19390881.20002081
2018-07-20,261.0,261.0,221.0,230.0,11273976.9774404
2018-07-21,230.0,241.0,214.0,237.0,7182446.94995602
2018-07-22,236.0,244.0,224.0,228.0,8738340.80693884
2018-07-23,228.0,235.0,209.0,214.0,12572089.76928749
2018-07-24,214.0,239.0,197.0,220.0,19571741.21021078
2018-07-25,220.0,263.0,212.0,225.0,23403560.20146842
2018-07-26,224.0,243.0,204.0,215.0,7848104.39461028
2018-07-27,215.0,240.0,204.0,219.0,10314344.26264945
2018-07-28,219.0,252.0,214.0,225.0,19074485.25662089
2018-07-29,225.0,226.0,215.0,220.0,3246603.59802204
2018-07-30,218.0,219.0,205.0,214.0,2859370.15293759
2018-07-31,214.0,214.0,184.0,191.0,4741135.69100201
2018-08-01,191.0,202.0,175.0,198.0,2785322.38875991
2018-08-02,198.0,204.0,179.0,186.0,2829525.93341144
2018-08-03,185.0,185.0,162.0,170.0,5369172.63547299
2018-08-04,170.0,174.0,152.0,157.0,3700428.75389164
2018-08-05,157.0,161.0,150.0,159.0,3185202.61001535
2018-08-06,159.0,163.0,149.0,153.0,2701149.68668019
2018-08-07,153.0,159.0,145.0,148.0,2059527.46449891
2018-08-08,147.0,147.0,119.0,121.0,5341467.52519412
2018-08-09,120.0,140.0,117.0,128.0,9028695.44352801
2018-08-10,128.0,132.0,115.0,117.0,4271634.92720388
2018-08-11,116.0,118.0,103.0,107.0,2374155.60799253
2018-08-12,107.0,113.0,105.0,105.0,2417809.1606945
2018-08-13,107.0,107.0,88.1,90.4,3558313.91134151
2018-08-14,89.3,90.4,72.3,79.1,2932874.24906926
2018-08-15,79.1,88.6,74.6,82.0,2892403.46742841
2018-08-16,80.2,102.0,80.2,91.5,3685874.49322243
2018-08-17,91.5,109.0,88.7,109.0,3802198.02610575
2018-08-18,109.0,117.0,90.4,95.5,4186864.64051844
2018-08-19,95.5,106.0,92.1,102.0,6960578.13609288
2018-08-20,102.0,103.0,91.3,92.8,2583089.20463825
2018-08-21,92.8,98.0,90.0,97.0,1628295.39986028
2018-08-22,97.0,106.0,90.3,92.9,3020498.09182518
2018-08-23,91.7,98.5,90.6,98.0,881863.03407843
2018-08-24,98.0,113.0,93.9,105.0,5221604.37430511
2018-08-25,105.0,111.0,99.5,107.0,3012261.32198316
2018-08-26,108.0,123.0,101.0,117.0,10143607.9392259
2018-08-27,117.0,130.0,116.0,123.0,12432854.84701248
2018-08-28,122.0,128.0,119.0,125.0,3936116.68654758
2018-08-29,124.0,134.0,119.0,121.0,5728156.37265161
2018-08-30,121.0,151.0,121.0,148.0,20281793.44127321
2018-08-31,147.0,150.0,130.0,141.0,20408894.57994195
2018-09-01,140.0,143.0,136.0,142.0,9473005.09517199
2018-09-02,142.0,142.0,131.0,136.0,5081248.78755318
2018-09-03,135.0,135.0,127.0,130.0,3578254.89079635
2018-09-04,131.0,133.0,128.0,130.0,3570875.75857774
2018-09-05,130.0,131.0,100.0,101.0,6828133.54888492
2018-09-06,101.0,103.0,88.2,102.0,5474045.29025807
2018-09-07,102.0,107.0,95.6,100.0,5765659.81114496
2018-09-08,100.0,101.0,87.0,89.8,3319703.46242607
2018-09-09,89.8,93.0,84.7,87.9,3644936.91316627
2018-09-10,87.9,89.5,83.9,86.5,3043957.37558181
2018-09-11,86.5,86.9,77.9,80.3,2553863.81534548
2018-09-12,81.0,81.0,72.0,79.2,2644877.87418023
2018-09-13,79.4,95.5,79.1,95.4,7333051.12019292
2018-09-14,95.4,95.8,85.5,89.3,9938762.59961115
2018-09-15,89.3,92.0,88.7,91.4,2898706.38337166
2018-09-16,91.0,97.8,88.0,95.2,4185758.50259678
2018-09-17,95.2,99.9,84.8,87.5,4158185.11830675
2018-09-18,87.3,92.2,85.3,92.0,1785319.54869985
2018-09-19,91.5,94.9,87.4,90.4,770619.49001744
2018-09-20,91.0,93.8,89.0,93.8,1280665.810028
2018-09-21,93.8,108.0,92.0,102.0,4563215.83166286
2018-09-22,102.0,110.0,97.8,100.0,4686633.71535221
2018-09-23,100.0,104.0,99.5,100.0,3848259.04678427
2018-09-24,100.0,104.0,94.2,95.1,2601801.26812062
2018-09-25,95.1,99.9,89.4,96.9,3945086.32410522
2018-09-26,97.0,106.0,94.0,97.5,4084921.26721229
2018-09-27,98.8,117.0,98.5,114.0,8351147.74238641
2018-09-28,114.0,119.0,104.0,109.0,4262585.55696154
2018-09-29,109.0,120.0,103.0,110.0,4779991.39632896
2018-09-30,110.0,126.0,108.0,117.0,7552695.98339765
2018-10-01,117.0,126.0,116.0,119.0,3262368.76992749
2018-10-02,119.0,121.0,116.0,117.0,647160.40067298
2018-10-03,117.0,118.0,111.0,113.0,754238.04924635
2018-10-04,113.0,118.0,112.0,117.0,580899.83999634
2018-10-05,117.0,124.0,112.0,123.0,1417877.959976
2018-10-06,123.0,141.0,123.0,128.0,6264565.75108211
2018-10-07,130.0,130.0,124.0,130.0,1218252.14242198
2018-10-08,130.0,132.0,126.0,131.0,1192426.84924541
2018-10-09,132.0,136.0,128.0,130.0,1220211.01679083
2018-10-10,131.0,246.0,131.0,153.0,99386257.64192252
2018-10-11,154.0,156.0,124.0,130.0,35772456.31825499
2018-10-12,131.0,183.0,125.0,147.0,199754987.2827834
2018-10-13,146.0,152.0,141.0,146.0,24461673.68405549
2018-10-14,146.0,153.0,140.0,141.0,16667639.73426825
2018-10-15,141.0,143.0,134.0,139.0,14579221.13079376
2018-10-16,139.0,144.0,135.0,143.0,8044977.95274215
2018-10-17,143.0,145.0,139.0,141.0,7328803.74877861
2018-10-18,141.0,142.0,136.0,139.0,7269727.01180317
2018-10-19,138.0,140.0,129.0,134.0,9699103.17329235
2018-10-20,133.0,140.0,132.0,137.0,4940253.5941407
2018-10-21,137.0,153.0,137.0,144.0,19173437.21041964
2018-10-22,144.0,146.0,140.0,144.0,6933809.27310265
2018-10-23,144.0,144.0,138.0,139.0,4376315.66390764
2018-10-24,139.0,140.0,137.0,137.0,2913427.95390039
2018-10-25,137.0,138.0,131.0,134.0,3270131.12647268
2018-10-26,134.0,138.0,133.0,135.0,1797085.2125735
2018-10-27,135.0,135.0,130.0,132.0,1196887.94266877
