"날짜","종가","오픈","고가","저가","변동 %"
"2017년 10월","1,117.42","1,145.13","1,149.68","1,116.04","-2.35%"
"2017년 11월","1,087.13","1,118.42","1,122.38","1,074.71","-2.71%"
"2017년 12월","1,066.37","1,088.14","1,097.08","1,063.94","-1.91%"
"2018년 1월","1,069.08","1,067.38","1,077.85","1,055.67","0.25%"
"2018년 2월","1,084.21","1,070.12","1,099.04","1,061.85","1.42%"
"2018년 3월","1,060.25","1,085.21","1,088.32","1,060.47","-2.21%"
"2018년 4월","1,069.33","1,060.56","1,084.95","1,052.78","0.86%"
"2018년 5월","1,079.59","1,070.45","1,087.59","1,064.14","0.96%"
"2018년 6월","1,113.91","1,080.59","1,126.10","1,065.78","3.18%"
"2018년 7월","1,112.25","1,115.01","1,141.11","1,109.25","-0.15%"
"2018년 8월","1,115.46","1,113.25","1,138.89","1,104.08","0.29%"
"2018년 9월","1,109.98","1,115.65","1,131.77","1,107.14","-0.49%"
"2018년 10월","1,141.02","1,110.00","1,147.18","1,108.39","2.80%"
"2018년 11월","1,119.44","1,142.03","1,142.76","1,110.83","-1.89%"
"2018년 12월","1,113.30","1,120.56","1,135.65","1,103.93","-0.55%"
"2019년 1월","1,111.40","1,114.30","1,134.65","1,108.54","-0.17%"
"2019년 2월","1,124.60","1,112.40","1,130.89","1,110.73","1.19%"
"2019년 3월","1,136.10","1,125.95","1,140.36","1,123.36","1.02%"
"2019년 4월","1,163.25","1,137.02","1,169.69","1,130.82","2.39%"
"2019년 5월","1,187.80","1,164.25","1,197.09","1,160.21","2.11%"
"2019년 6월","1,155.38","1,188.80","1,191.20","1,151.89","-2.73%"
"2019년 7월","1,187.32","1,156.43","1,189.35","1,148.70","2.76%"
"2019년 8월","1,209.50","1,188.32","1,224.55","1,185.88","1.87%"
"2019년 9월","1,198.09","1,209.77","1,217.50","1,175.31","-0.94%"
"2019년 10월","1,169.24","1,199.09","1,207.89","1,159.17","-2.41%"
"2019년 11월","1,180.70","1,170.24","1,182.76","1,152.73","0.98%"
"2019년 12월","1,154.07","1,181.42","1,196.20","1,152.94","-2.26%"
"2020년 1월","1,194.97","1,155.07","1,198.55","1,150.30","3.54%"
"2020년 2월","1,200.20","1,195.96","1,222.96","1,176.06","0.44%"
"2020년 3월","1,218.30","1,200.21","1,292.93","1,178.81","1.51%"
"2020년 4월","1,212.94","1,218.80","1,243.29","1,203.52","-0.44%"
"2020년 5월","1,231.49","1,213.94","1,244.89","1,213.10","1.53%"
"2020년 6월","1,199.28","1,231.47","1,232.19","1,184.24","-2.62%"
"2020년 7월","1,193.59","1,199.44","1,208.74","1,186.27","-0.47%"
"2020년 8월","1,187.94","1,194.10","1,197.12","1,176.04","-0.47%"
"2020년 9월","1,164.65","1,188.07","1,193.21","1,156.46","-1.96%"
"2020년 10월","1,136.49","1,164.75","1,168.28","1,124.69","-2.42%"
"2020년 11월","1,109.32","1,136.60","1,147.82","1,101.61","-2.39%"
"2020년 12월","1,084.47","1,109.82","1,112.74","1,080.39","-2.24%"
"2021년 1월","1,117.64","1,085.69","1,121.76","1,080.02","3.06%"
"2021년 2월","1,123.89","1,118.43","1,130.33","1,096.91","0.56%"
"2021년 3월","1,127.17","1,124.89","1,145.60","1,102.06","0.29%"
"2021년 4월","1,117.16","1,127.96","1,133.82","1,105.30","-0.89%"
"2021년 5월","1,106.58","1,117.76","1,139.79","1,106.50","-0.95%"
"2021년 6월","1,113.94","1,107.98","1,115.42","1,105.07","0.67%"
