,date,국고채 3년(평균),국고채 5년(평균),국고채 10년(평균)
0,2017-10-01,2.03,2.25,2.46
1,2017-11-01,2.15,2.36,2.54
2,2017-12-01,2.1,2.3,2.47
3,2018-01-01,2.19,2.44,2.63
4,2018-02-01,2.28,2.54,2.77
5,2018-03-01,2.27,2.5,2.71
6,2018-04-01,2.19,2.44,2.66
7,2018-05-01,2.25,2.53,2.76
8,2018-06-01,2.18,2.44,2.66
9,2018-07-01,2.1,2.34,2.55
10,2018-08-01,2.02,2.24,2.46
11,2018-09-01,1.95,2.13,2.32
12,2018-10-01,2.01,2.16,2.34
13,2018-11-01,1.94,2.05,2.21
14,2018-12-01,1.83,1.89,1.99
15,2019-01-01,1.81,1.88,1.99
16,2019-02-01,1.8,1.87,1.99
17,2019-03-01,1.79,1.84,1.95
18,2019-04-01,1.74,1.77,1.89
19,2019-05-01,1.68,1.72,1.83
20,2019-06-01,1.5,1.53,1.62
21,2019-07-01,1.38,1.42,1.51
22,2019-08-01,1.16,1.2,1.25
23,2019-09-01,1.29,1.35,1.42
24,2019-10-01,1.36,1.44,1.58
25,2019-11-01,1.49,1.59,1.75
26,2019-12-01,1.39,1.48,1.65
27,2020-01-01,1.37,1.48,1.66
28,2020-02-01,1.25,1.36,1.54
29,2020-03-01,1.09,1.27,1.49
30,2020-04-01,1.02,1.26,1.5
31,2020-05-01,0.88,1.13,1.39
32,2020-06-01,0.85,1.13,1.39
33,2020-07-01,0.83,1.09,1.36
34,2020-08-01,0.83,1.09,1.37
35,2020-09-01,0.91,1.19,1.5
36,2020-10-01,0.91,1.2,1.51
37,2020-11-01,0.97,1.3,1.61
38,2020-12-01,0.97,1.32,1.68
39,2021-01-01,0.98,1.32,1.73
40,2021-02-01,1.0,1.35,1.85
41,2021-03-01,1.13,1.55,2.04
42,2021-04-01,1.14,1.58,2.04
