,ds,y
0,2017-09-25,4322000.0
1,2017-09-26,4321000.0
2,2017-09-27,4657000.0
3,2017-09-28,4586000.0
4,2017-09-29,4657000.0
5,2017-09-30,4895000.0
6,2017-10-01,4962000.0
7,2017-10-02,5025000.0
8,2017-10-03,4964000.0
9,2017-10-04,4895000.0
10,2017-10-05,4926000.0
11,2017-10-06,5027000.0
12,2017-10-07,5047000.0
13,2017-10-08,5217000.0
14,2017-10-09,5477000.0
15,2017-10-10,5486000.0
16,2017-10-11,5557000.0
17,2017-10-12,6332000.0
18,2017-10-13,6438000.0
19,2017-10-14,6664000.0
20,2017-10-15,6381000.0
21,2017-10-16,6491000.0
22,2017-10-17,6457000.0
23,2017-10-18,6391000.0
24,2017-10-19,6511000.0
25,2017-10-20,6928000.0
26,2017-10-21,6874000.0
27,2017-10-22,7039000.0
28,2017-10-23,6971000.0
29,2017-10-24,6479000.0
30,2017-10-25,6643000.0
31,2017-10-26,6811000.0
32,2017-10-27,6710000.0
33,2017-10-28,6715000.0
34,2017-10-29,6961000.0
35,2017-10-30,6964000.0
36,2017-10-31,7422000.0
37,2017-11-01,7798000.0
38,2017-11-02,8217000.0
39,2017-11-03,8143000.0
40,2017-11-04,8346000.0
41,2017-11-05,8453000.0
42,2017-11-06,8060000.0
43,2017-11-07,8243000.0
44,2017-11-08,8339000.0
45,2017-11-09,8148000.0
46,2017-11-10,7541000.0
47,2017-11-11,7231000.0
48,2017-11-12,7132000.0
49,2017-11-13,7487000.0
50,2017-11-14,7591000.0
51,2017-11-15,8350000.0
52,2017-11-16,8710000.0
53,2017-11-17,8541000.0
54,2017-11-18,8618000.0
55,2017-11-19,8770000.0
56,2017-11-20,9025000.0
57,2017-11-21,8944000.0
58,2017-11-22,9084000.0
59,2017-11-23,8943000.0
60,2017-11-24,9195000.0
61,2017-11-25,9879000.0
62,2017-11-26,10344000.0
63,2017-11-27,11314000.0
64,2017-11-28,12048000.0
65,2017-11-29,11104000.0
66,2017-11-30,11935000.0
67,2017-12-01,12532000.0
68,2017-12-02,12971000.0
69,2017-12-03,13128000.0
70,2017-12-04,13684000.0
71,2017-12-05,14645000.0
72,2017-12-06,18390000.0
73,2017-12-07,23791000.0
74,2017-12-08,20260000.0
75,2017-12-09,17769000.0
76,2017-12-10,17661000.0
77,2017-12-11,19307000.0
78,2017-12-12,18940000.0
79,2017-12-13,18358000.0
80,2017-12-14,18660000.0
