,날짜,콜금리,CD(91일),국고채(3년),국고채(5년),"회사채(3년,AA-)"
0,2017.09.11,1.25,1.38,1.76,1.95,2.3
1,2017.09.12,1.25,1.38,1.75,1.96,2.3
2,2017.09.13,1.26,1.38,1.74,1.95,2.29
3,2017.09.14,1.26,1.38,1.74,1.95,2.29
4,2017.09.15,1.26,1.38,1.74,1.95,2.29
5,2017.09.18,1.25,1.38,1.74,1.96,2.29
6,2017.09.19,1.25,1.38,1.78,1.99,2.33
7,2017.09.20,1.24,1.38,1.78,1.98,2.32
8,2017.09.21,1.25,1.38,1.78,1.98,2.33
9,2017.09.22,1.25,1.38,1.78,1.97,2.32
10,2017.09.25,1.25,1.38,1.79,1.98,2.33
11,2017.09.26,1.23,1.38,1.83,2.02,2.38
12,2017.09.27,1.25,1.38,1.89,2.09,2.43
13,2017.09.28,1.26,1.38,1.89,2.09,2.43
14,2017.09.29,1.26,1.38,1.89,2.09,2.43
15,2017.10.10,1.27,1.38,1.94,2.14,2.48
16,2017.10.11,1.26,1.38,1.93,2.14,2.47
17,2017.10.12,1.24,1.38,1.9,2.11,2.44
18,2017.10.13,1.25,1.38,1.92,2.12,2.46
19,2017.10.16,1.25,1.38,1.93,2.13,2.47
20,2017.10.17,1.25,1.38,1.95,2.15,2.49
21,2017.10.18,1.24,1.38,1.94,2.14,2.48
22,2017.10.19,1.24,1.38,2.01,2.21,2.55
23,2017.10.20,1.24,1.38,2.09,2.3,2.63
24,2017.10.23,1.24,1.38,2.03,2.27,2.58
25,2017.10.24,1.24,1.38,2.06,2.29,2.61
26,2017.10.25,1.24,1.38,2.09,2.34,2.65
27,2017.10.26,1.24,1.38,2.18,2.42,2.73
28,2017.10.27,1.25,1.4,2.16,2.41,2.72
29,2017.10.30,1.24,1.4,2.14,2.39,2.7
30,2017.10.31,1.23,1.4,2.16,2.4,2.73
31,2017.11.01,1.26,1.4,2.14,2.37,2.71
32,2017.11.02,1.24,1.4,2.13,2.35,2.69
33,2017.11.03,1.24,1.4,2.13,2.37,2.69
34,2017.11.06,1.24,1.4,2.15,2.39,2.71
35,2017.11.07,1.23,1.4,2.13,2.36,2.7
36,2017.11.08,1.25,1.4,2.15,2.36,2.71
37,2017.11.09,1.23,1.4,2.15,2.35,2.71
38,2017.11.10,1.24,1.4,2.16,2.35,2.72
39,2017.11.13,1.24,1.41,2.18,2.39,2.74
40,2017.11.14,1.25,1.42,2.21,2.42,2.77
41,2017.11.15,1.24,1.43,2.18,2.38,2.74
42,2017.11.16,1.24,1.44,2.17,2.38,2.74
43,2017.11.17,1.24,1.45,2.17,2.38,2.73
44,2017.11.20,1.24,1.45,2.17,2.38,2.73
