,date,open,high,low,close,volume,total_mean,usd_close,usd_open,usd_high,usd_low,usd_value%
0,2017-09-01,4201000.0,4896000.0,4175000.0,4895000.0,347.48185656,2.02,,,,,
1,2017-10-01,4889000.0,7479000.0,4682000.0,7422000.0,4282.09567791,2.25,1117.42,1145.13,1149.68,1116.04,-2.3
2,2017-11-01,7422000.0,13750000.0,6476000.0,11935000.0,332870.40658095,2.35,1087.13,1118.42,1122.38,1074.71,-2.7
3,2017-12-01,11935000.0,24967000.0,11201000.0,19280000.0,1423404.06885122,2.29,1066.37,1088.14,1097.08,1063.94,-1.9
4,2018-01-01,19278000.0,28885000.0,10400000.0,11429000.0,1138495.89407868,2.42,1069.08,1067.38,1077.85,1055.67,0.25
5,2018-02-01,11439000.0,14149000.0,6620000.0,11860000.0,780683.9588335999,2.53,1084.21,1070.12,1099.04,1061.85,1.42
6,2018-03-01,11865000.0,12899000.0,7431000.0,7697000.0,575945.75756607,2.49,1060.25,1085.21,1088.32,1060.47,-2.2
7,2018-04-01,7688000.0,10755000.0,7087000.0,10138000.0,573633.81153136,2.43,1069.33,1060.56,1084.95,1052.78,0.86
8,2018-05-01,10135000.0,10963000.0,7813000.0,8282000.0,272267.48145009,2.51,1079.59,1070.45,1087.59,1064.14,0.96
9,2018-06-01,8278000.0,8490000.0,6590000.0,7164000.0,117782.95477841,2.43,1113.91,1080.59,1126.1,1065.78,3.18
10,2018-07-01,7164000.0,9578000.0,6941000.0,8800000.0,181398.01589799,2.33,1112.25,1115.01,1141.11,1109.25,-0.1
11,2018-08-01,8807000.0,8940000.0,6960000.0,7865000.0,150764.1511383,2.24,1115.46,1113.25,1138.89,1104.08,0.29
12,2018-09-01,7865000.0,8333000.0,7010000.0,7393000.0,100674.26100622,2.13,1109.98,1115.65,1131.77,1107.14,-0.4
13,2018-10-01,7394000.0,7905000.0,7057000.0,7162000.0,101664.52766478,2.17,1141.02,1110.0,1147.18,1108.39,2.8
14,2018-11-01,7162000.0,7348000.0,4126000.0,4565000.0,202770.0644728,2.07,1119.44,1142.03,1142.76,1110.83,-1.8
15,2018-12-01,4565000.0,4852000.0,3562000.0,4200000.0,256196.68711434,1.9,1113.3,1120.56,1135.65,1103.93,-0.5
16,2019-01-01,4200000.0,4577000.0,3730000.0,3775000.0,152628.16488031,1.89,1111.4,1114.3,1134.65,1108.54,-0.1
17,2019-02-01,3775000.0,4554000.0,3735000.0,4240000.0,149447.01330811,1.89,1124.6,1112.4,1130.89,1110.73,1.19
18,2019-03-01,4240000.0,4680000.0,4120000.0,4661000.0,220183.66257353,1.86,1136.1,1125.95,1140.36,1123.36,1.02
19,2019-04-01,4661000.0,6566000.0,4621000.0,6117000.0,286261.8481024,1.8,1163.25,1137.02,1169.69,1130.82,2.39
20,2019-05-01,6117000.0,10815000.0,6107000.0,10383000.0,364387.76327154,1.74,1187.8,1164.25,1197.09,1160.21,2.11
21,2019-06-01,10383000.0,16840000.0,9172000.0,13598000.0,395517.38569837,1.55,1155.38,1188.8,1191.2,1151.89,-2.7
22,2019-07-01,13599000.0,15537000.0,10880000.0,11957000.0,487170.94062848,1.44,1187.32,1156.43,1189.35,1148.7,2.76
23,2019-08-01,11956000.0,14570000.0,11380000.0,11612000.0,283765.53137123,1.2,1209.5,1188.32,1224.55,1185.88,1.87
24,2019-09-01,11612000.0,13014000.0,9268000.0,9945000.0,152291.29161581,1.35,1198.09,1209.77,1217.5,1175.31,-0.9
25,2019-10-01,9945000.0,11899000.0,8630000.0,10692000.0,158003.54559607,1.46,1169.24,1199.09,1207.89,1159.17,-2.4
26,2019-11-01,10698000.0,10996000.0,7683000.0,8838000.0,121988.83863801,1.61,1180.7,1170.24,1182.76,1152.73,0.98
27,2019-12-01,8838000.0,8996000.0,7546000.0,8312000.0,88753.43949787,1.51,1154.07,1181.42,1196.2,1152.94,-2.2
28,2020-01-01,8308000.0,10882000.0,7910000.0,10781000.0,151081.46125133,1.5,1194.97,1155.07,1198.55,1150.3,3.54
29,2020-02-01,10781000.0,12044000.0,10306000.0,10374000.0,141681.39512565,1.38,1200.2,1195.96,1222.96,1176.06,0.44
30,2020-03-01,10380000.0,10980000.0,5489000.0,7799000.0,345309.78188922,1.28,1218.3,1200.21,1292.93,1178.81,1.51
31,2020-04-01,7799000.0,11435000.0,7529000.0,10477000.0,171519.60064021,1.26,1212.94,1218.8,1243.29,1203.52,-0.4
32,2020-05-01,10477000.0,12163000.0,10121000.0,11432000.0,188722.04592686,1.13,1231.49,1213.94,1244.89,1213.1,1.53
33,2020-06-01,11432000.0,12230000.0,10756000.0,10903000.0,82842.86826319,1.12,1199.28,1231.47,1232.19,1184.24,-2.6
34,2020-07-01,10903000.0,13580000.0,10700000.0,13416000.0,86752.46083459,1.09,1193.59,1199.44,1208.74,1186.27,-0.4
35,2020-08-01,13404000.0,14382000.0,12871000.0,13739000.0,147985.32475413,1.1,1187.94,1194.1,1197.12,1176.04,-0.4
36,2020-09-01,13733000.0,14097000.0,11860000.0,12558000.0,95987.45136226,1.2,1164.65,1188.07,1193.21,1156.46,-1.9
37,2020-10-01,12562000.0,15800000.0,12205000.0,15606000.0,81936.15006869,1.21,1136.49,1164.75,1168.28,1124.69,-2.4
38,2020-11-01,15606000.0,21459000.0,15011000.0,21315000.0,183580.5023457,1.29,1109.32,1136.6,1147.82,1101.61,-2.3
39,2020-12-01,21313000.0,32386000.0,19216000.0,32042000.0,225919.11576872,1.32,1084.47,1109.82,1112.74,1080.39,-2.2
40,2021-01-01,32037000.0,48550000.0,31662000.0,36408000.0,502401.95083238,1.34,1117.64,1085.69,1121.76,1080.02,3.06
41,2021-02-01,36408000.0,65985000.0,35907000.0,51798000.0,382508.39154721,1.4,1123.89,1118.43,1130.33,1096.91,0.56
42,2021-03-01,51798000.0,72000000.0,51560000.0,71513000.0,298657.88946609996,1.57,1127.17,1124.89,1145.6,1102.06,0.29
43,2021-04-01,71480000.0,81994000.0,54964000.0,67939000.0,330777.59927229,1.59,1117.16,1127.96,1133.82,1105.3,-0.8
